Longitude,Latitude,name,type,area,Altitude,CO,NO2,NOx,O3,PM10,PM2.5,SO2
-1.826744,50.73957,Bournemouth,background,urban,30,NA,5.16375,7.65,63.66283,NA,NA,NA
-1.752006,53.40337,Ladybower,background,rural,420,NA,3.63375,3.63375,50.29164,NA,NA,1.86263
-1.610528,54.97825,Newcastle_Centre,background,urban,45,NA,34.99875,56.61,62.46541,16.6,15.8,NA
-1.595362,54.986405,Newcastle_Cradlewell_Roadside,traffic,urban,42,NA,NA,NA,NA,NA,NA,NA
-1.576361,53.819972,Leeds_Headingley_Kerbside,traffic,urban,85,NA,20.2725,41.31,NA,NA,NA,NA
-1.560228,52.411563,Coventry_Allesley,background,urban,98,NA,20.84625,30.2175,51.08992,NA,6.7,NA
-1.546472,53.80378,Leeds_Centre,background,urban,78,0.244482,25.43625,37.485,55.8796,27.6,8.8,1.06436
-1.542911,52.294884,Leamington_Spa_Rugby_Road,traffic,urban,66,NA,NA,NA,NA,NA,NA,NA
-1.533119,52.28881,Leamington_Spa,background,urban,175,NA,12.43125,15.6825,56.67788,NA,NA,NA
-1.510436,53.56292,Barnsley_Gawber,background,urban,100,NA,12.04875,17.78625,59.47186,NA,NA,5.05571
-1.478096,53.378622,Sheffield_Devonshire_Green,background,urban,89,NA,NA,NA,NA,NA,NA,NA
-1.456944,53.231722,Chesterfield_Roadside,traffic,urban,96,NA,13.96125,39.97125,NA,NA,NA,NA
-1.408391,54.91839,Sunderland_Wessington_Way,background,rural,29,NA,19.125,46.2825,NA,NA,NA,NA
-1.406878,54.88361,Sunderland_Silksworth,background,urban,110,NA,4.78125,8.98875,78.03187,NA,10,NA
-1.396139,53.41058,Sheffield_Tinsley,background,urban,90,NA,NA,NA,NA,NA,NA,NA
-1.395778,50.90814,Southampton_Centre,background,urban,7,NA,NA,NA,NA,NA,NA,NA
-1.358547,54.516667,Stockton-on-Tees_Eaglescliffe,traffic,urban,29,NA,NA,NA,NA,20.24919,NA,NA
-1.325283,51.571078,Harwell,background,rural,126,NA,1.53,2.6775,72.44391,1.4,0,0.79827
-1.3159,54.565819,Stockton-on-Tees_A1035_Roadside,background,rural,15,NA,13.005,16.4475,NA,NA,NA,NA
-1.275039,54.60537,Billingham,industrial,urban,10,NA,14.1525,15.87375,NA,NA,NA,NA
-1.260278,51.744806,Oxford_St_Ebbes,background,urban,58,NA,14.1525,18.7425,NA,NA,NA,NA
-1.257463,51.751745,Oxford_Centre_Roadside,traffic,urban,60,NA,49.53375,146.68875,NA,NA,NA,NA
-1.220874,54.569297,Middlesbrough,background,urban,10,NA,NA,NA,NA,NA,NA,NA
-1.185319,60.13922,Lerwick,background,suburban,85,NA,NA,NA,95.19489,NA,NA,NA
-1.146447,52.95473,Nottingham_Centre,background,urban,41,NA,23.715,34.8075,50.69078,NA,NA,4.25744
-1.127311,52.619823,Leicester_University,background,urban,83,NA,NA,NA,NA,NA,NA,NA
-1.086514,53.967513,York_Bootham,background,urban,15,NA,NA,NA,NA,10,4.9,NA
-1.075861,53.951889,York_Fishergate,traffic,urban,16,NA,29.835,79.9425,NA,NA,NA,NA
-1.068583,50.82881,Portsmouth,background,urban,5,NA,NA,NA,NA,NA,NA,NA
-0.944067,51.45309,Reading_New_Town,background,urban,58,NA,NA,NA,NA,3.3,0,NA
-0.879898,52.271886,Northampton_Kingsthorpe,background,urban,128,NA,NA,NA,NA,NA,NA,NA
-0.814722,52.93028,Bottesford,background,rural,32,NA,NA,NA,68.65208,NA,NA,NA
-0.80855,54.334944,High_Muffles,background,rural,267,NA,4.59,4.59,53.68433,NA,NA,NA
-0.772222,52.554444,Market_Harborough,background,rural,145,NA,8.415,10.51875,58.27444,NA,NA,NA
-0.636811,53.58634,Scunthorpe_Town,industrial,urban,36,NA,NA,NA,NA,6.5,NA,NA
-0.534189,53.221373,Lincoln_Canwick_Rd.,traffic,urban,7,NA,8.98875,29.64375,NA,NA,NA,NA
